iterations,top_n,coherence,LL
1000,10,0.10005389638744605,-8.37982
1050,10,0.0995391421983283,-8.37443
1100,10,0.09850795344712866,-8.37143
1150,10,0.09876849690714655,-8.36656
1200,10,0.09742023674920425,-8.36472
1250,10,0.10043143028172617,-8.36432
1300,10,0.09933719304945386,-8.36101
1350,10,0.10125054030040767,-8.3626
1400,10,0.09788213702753533,-8.36197
1450,10,0.0997283315725305,-8.35519
1500,10,0.09951169232332761,-8.35499
1550,10,0.09855670053409242,-8.3504
1600,10,0.10038613512686005,-8.35674
1650,10,0.09810755188148589,-8.35019
1700,10,0.09750212535198251,-8.34983
1750,10,0.09882559869811655,-8.34397
1800,10,0.10057401592918025,-8.3426
1850,10,0.09778598444891241,-8.34394
1900,10,0.09942805571901865,-8.34484
1950,10,0.09869177168887636,-8.34986
2000,10,0.09858694615586842,-8.34597
2050,10,0.09806653107597964,-8.34192
2100,10,0.10198406586976903,-8.34357
2150,10,0.09866752207397857,-8.3388
2200,10,0.10415604742289071,-8.33807
2250,10,0.10216039272042875,-8.33603
2300,10,0.1024587260201611,-8.33825
2350,10,0.10266194013964816,-8.34104
2400,10,0.09934638914134643,-8.34112
2450,10,0.0983273010126266,-8.34039
2500,10,0.10066473171231574,-8.34018
2550,10,0.09652091740181765,-8.34059
2600,10,0.0994242275765153,-8.3416
2650,10,0.09737769942095065,-8.33507
2700,10,0.10162981845258894,-8.33273
2750,10,0.10177425702184772,-8.33677
2800,10,0.09918884409310771,-8.34019
2850,10,0.09821779118764629,-8.33552
2900,10,0.09839708309582489,-8.3359
2950,10,0.09938081705610584,-8.33701
3000,10,0.10051819434839142,-8.3323
3050,10,0.09951370811516513,-8.33363
3100,10,0.1002435749601079,-8.33096
3150,10,0.09893704433017834,-8.33229
3200,10,0.09993100855630026,-8.32772
3250,10,0.10211623946563964,-8.32633
3300,10,0.09905359518256153,-8.3325
3350,10,0.09927899213101173,-8.33544
3400,10,0.10184215362300039,-8.3273
3450,10,0.09913044891876434,-8.32699
3500,10,0.09976120673897824,-8.32966
3550,10,0.10107263521195985,-8.32367
3600,10,0.10194794343449172,-8.33028
3650,10,0.09987953583234273,-8.3209
3700,10,0.10024887813220365,-8.33104
3750,10,0.0994737849479216,-8.3275
3800,10,0.09712405321326541,-8.32938
3850,10,0.09991413374268607,-8.32534
3900,10,0.09944627752174252,-8.32843
3950,10,0.100158354083179,-8.32397
4000,10,0.10336524971556449,-8.32683
50,10,0.051637645386223646,-9.03463
100,10,0.06630594587654441,-8.88493
150,10,0.07340167155343622,-8.837
200,10,0.0773989588624497,-8.79717
250,10,0.08203471473291185,-8.74579
300,10,0.08333657663990782,-8.62974
350,10,0.08894588779231953,-8.55515
400,10,0.08979963461362428,-8.519
450,10,0.0905240030872928,-8.49088
500,10,0.09004070331735813,-8.46451
550,10,0.09193940220611975,-8.45042
600,10,0.09332363466255647,-8.43454
650,10,0.0907884678214287,-8.42311
700,10,0.09290225038804854,-8.4165
750,10,0.09596095657847466,-8.40659
800,10,0.09510661037701082,-8.39772
850,10,0.09559913422909717,-8.39121
900,10,0.09509118846792143,-8.38641
950,10,0.09665944049477486,-8.38054
1000,10,0.09783463436533785,-8.37982
1050,10,0.09692398030448052,-8.37443
1100,10,0.0942203738381014,-8.37143
1150,10,0.09817964484907438,-8.36656
1200,10,0.09558331484452277,-8.36472
1250,10,0.09543884396017922,-8.36432
1300,10,0.09529869335657558,-8.36101
1350,10,0.09592667542859623,-8.3626
1400,10,0.09309180254784695,-8.36197
1450,10,0.09503100369206166,-8.35519
1500,10,0.09340209467778254,-8.35499
1550,10,0.09166743478635274,-8.3504
1600,10,0.09562411024672118,-8.35674
1650,10,0.09393467786054496,-8.35019
1700,10,0.09377944750136222,-8.34983
1750,10,0.09444452433505172,-8.34397
1800,10,0.09508055978771421,-8.3426
1850,10,0.09287578217326775,-8.34394
1900,10,0.09558936906781389,-8.34484
1950,10,0.09854176235093062,-8.34986
2000,10,0.09552564073110205,-8.34597
2050,10,0.09643400568380343,-8.34192
2100,10,0.09471234978945416,-8.34357
2150,10,0.0965887463923354,-8.3388
2200,10,0.09813837025641595,-8.33807
2250,10,0.09487005379754836,-8.33603
2300,10,0.09587771396289739,-8.33825
2350,10,0.095604822008131,-8.34104
2400,10,0.09743606623476246,-8.34112
2450,10,0.09444096799056792,-8.34039
2500,10,0.09300536747333024,-8.34018
2550,10,0.09638789040345339,-8.34059
2600,10,0.09750318363413486,-8.3416
2650,10,0.09664399372406925,-8.33507
2700,10,0.09678303774537002,-8.33273
2750,10,0.0964852528042661,-8.33677
2800,10,0.09384822514918714,-8.34019
2850,10,0.09554227389890473,-8.33552
2900,10,0.09639798356852879,-8.3359
2950,10,0.09578239320164524,-8.33701
3000,10,0.09635777841673523,-8.3323
3050,10,0.09806030410007864,-8.33363
3100,10,0.09669883850769298,-8.33096
3150,10,0.09838327340523523,-8.33229
3200,10,0.0969876944288866,-8.32772
3250,10,0.09576399414449002,-8.32633
3300,10,0.09475023186369891,-8.3325
3350,10,0.09682114085656782,-8.33544
3400,10,0.09753687039460672,-8.3273
3450,10,0.09602509573447543,-8.32699
3500,10,0.09548948040195619,-8.32966
3550,10,0.09710413295062903,-8.32367
3600,10,0.09548568532475397,-8.33028
3650,10,0.09388025577195604,-8.3209
3700,10,0.09583240657601995,-8.33104
3750,10,0.09523069537021141,-8.3275
3800,10,0.09492573787316007,-8.32938
3850,10,0.09684477145809586,-8.32534
3900,10,0.09377328539207541,-8.32843
3950,10,0.09484415496690199,-8.32397
4000,10,0.09566256452200385,-8.32683
50,15,0.03504142401800026,-9.03463
100,15,0.04929383951413826,-8.88493
150,15,0.055951238464913094,-8.837
200,15,0.06034878654599632,-8.79717
250,15,0.06484679260265896,-8.74579
300,15,0.0691822381830513,-8.62974
350,15,0.070325894137195,-8.55515
400,15,0.07211838033316759,-8.519
450,15,0.07172424775117307,-8.49088
500,15,0.07145104269583369,-8.46451
550,15,0.07238086092684114,-8.45042
600,15,0.07401530592684695,-8.43454
650,15,0.07281783218334935,-8.42311
700,15,0.07288646595434305,-8.4165
750,15,0.07350517999993009,-8.40659
800,15,0.07321030962769408,-8.39772
850,15,0.07325291020286019,-8.39121
900,15,0.07526024368862766,-8.38641
950,15,0.07260576075552802,-8.38054
1000,15,0.07425185576472598,-8.37982
1050,15,0.07307203525165941,-8.37443
1100,15,0.07347540553993243,-8.37143
1150,15,0.07343674894886211,-8.36656
1200,15,0.07250568596363333,-8.36472
1250,15,0.07332895781097762,-8.36432
1300,15,0.07435833539194268,-8.36101
1350,15,0.07455573023036756,-8.3626
1400,15,0.0741803623096635,-8.36197
1450,15,0.07311038791849536,-8.35519
1500,15,0.07542641870992182,-8.35499
1550,15,0.07398059171791013,-8.3504
1600,15,0.07159238079161799,-8.35674
1650,15,0.07285837967261964,-8.35019
1700,15,0.07185204077680282,-8.34983
1750,15,0.07354780914183617,-8.34397
1800,15,0.07233013848214385,-8.3426
1850,15,0.07474978912151099,-8.34394
1900,15,0.07276747746852863,-8.34484
1950,15,0.07331476955286317,-8.34986
2000,15,0.07384226026495898,-8.34597
2050,15,0.0739216384595281,-8.34192
2100,15,0.07239761599423246,-8.34357
2150,15,0.07378152938440653,-8.3388
2200,15,0.07285886799397266,-8.33807
2250,15,0.07237049060427372,-8.33603
2300,15,0.07484801321150514,-8.33825
2350,15,0.0734320434887127,-8.34104
2400,15,0.0739997880793067,-8.34112
2450,15,0.07205506286384741,-8.34039
2500,15,0.07508089580052024,-8.34018
2550,15,0.07410328969462142,-8.34059
2600,15,0.0736767779021949,-8.3416
2650,15,0.07303219088967702,-8.33507
2700,15,0.07363211645563394,-8.33273
2750,15,0.07296100283348947,-8.33677
2800,15,0.07320715113217775,-8.34019
2850,15,0.07149347364257264,-8.33552
2900,15,0.07318883861548876,-8.3359
2950,15,0.07342249430455734,-8.33701
3000,15,0.07395933931137523,-8.3323
3050,15,0.0725791103467342,-8.33363
3100,15,0.07360323984621758,-8.33096
3150,15,0.07263060587233106,-8.33229
3200,15,0.07363599509056129,-8.32772
3250,15,0.07246483410032988,-8.32633
3300,15,0.07277993109672437,-8.3325
3350,15,0.07325795659756135,-8.33544
3400,15,0.07340703242154244,-8.3273
3450,15,0.07215041696978533,-8.32699
3500,15,0.07328924647621791,-8.32966
3550,15,0.07333933052880873,-8.32367
3600,15,0.07419048731430251,-8.33028
3650,15,0.07321226515114616,-8.3209
3700,15,0.07449693147312621,-8.33104
3750,15,0.07414776359748138,-8.3275
3800,15,0.07258184228396403,-8.32938
3850,15,0.07238632804658698,-8.32534
3900,15,0.07223508803825428,-8.32843
