K,iterations,coherence,LL
17,750,0.0691784188466228,-8.73969
17,800,0.06996573727354001,-8.71187
17,850,0.07247691453109277,-8.69018
17,900,0.07190253978032973,-8.69256
17,950,0.07392402904204562,-8.69323
17,1000,0.07335917843822745,-8.67058
17,1050,0.0744435409428518,-8.64376
17,1100,0.07504563733309161,-8.64756
17,1150,0.07456869373497471,-8.6492
17,1200,0.07246940786201497,-8.62775
17,1250,0.07658966890938287,-8.60398
17,1300,0.07658334122588781,-8.60494
17,1350,0.07600349833016337,-8.60796
17,1400,0.07686801997325308,-8.58858
17,1450,0.07784420151865037,-8.56757
17,1500,0.07786190042529118,-8.57034
17,1550,0.07916121443287594,-8.57159
17,1600,0.07768376349472493,-8.55693
17,1650,0.07872357493737164,-8.53886
17,1700,0.07774152345675828,-8.54199
17,1750,0.0780554057105767,-8.54247
17,1800,0.07932298297018446,-8.53071
17,1850,0.07839537388917095,-8.51437
17,1900,0.07931221834792003,-8.51647
17,1950,0.07905902772561428,-8.51498
17,2000,0.07926406141440641,-8.5095
17,2050,0.0789951957394834,-8.49328
17,2100,0.07762301743489884,-8.49383
17,2150,0.07868298938069843,-8.49477
17,2200,0.07791628527202382,-8.49087
17,2250,0.07775497536928876,-8.47613
17,2300,0.07889985702712317,-8.47836
17,2350,0.07872204247817781,-8.47688
17,2400,0.07897849408820025,-8.4714
17,2450,0.07633094301079664,-8.4638
17,2500,0.07671043196900929,-8.46354
17,2550,0.07697180299959328,-8.46416
17,2600,0.07822633538397043,-8.46045
17,2650,0.07546670908138542,-8.4521
17,2700,0.07610884918224216,-8.45289
17,2750,0.07515489120507525,-8.45299
17,2800,0.07601582279907902,-8.45086
17,2850,0.07763018465757979,-8.44339
17,2900,0.07618963865312574,-8.44332
17,2950,0.0740361753833132,-8.44423
17,3000,0.07470490077992785,-8.44008
17,3050,0.07453511720229482,-8.43552
17,3100,0.07469050151283174,-8.435
17,3150,0.0745840636271704,-8.43532
17,3200,0.07524296204759665,-8.43512
17,3250,0.07499164264926053,-8.42862
17,3300,0.07282445205559024,-8.42889
17,3350,0.07471617662284231,-8.42957
17,3400,0.07577172545639703,-8.42832
17,3450,0.07484634956849728,-8.42221
17,3500,0.07396219888901012,-8.42382
17,3550,0.07329456740026338,-8.42455
17,3600,0.07552819008250296,-8.42353
17,3650,0.07437015724810318,-8.41926
17,3700,0.07551625146067499,-8.41876
17,3750,0.07458940683372099,-8.41874
17,3800,0.07473683863015572,-8.41871
17,3850,0.07427584088294811,-8.41566
17,3900,0.0743495371114472,-8.41712
17,3950,0.07501591626226536,-8.4159
17,4000,0.07436031432188348,-8.41518
17,4050,0.07406516787474726,-8.41435
17,4100,0.07356036789313515,-8.41232
17,4150,0.07405815997988191,-8.41264
17,4200,0.07336410088259714,-8.41228
17,4250,0.07401722301856115,-8.40978
17,4300,0.074076922465909,-8.41017
17,4350,0.0745700968151208,-8.40979
17,4400,0.07374251596641145,-8.41037
17,4450,0.07334000641019517,-8.40807
17,4500,0.07367400718735313,-8.40793
17,4550,0.07483550823031633,-8.40838
17,4600,0.07492855138555801,-8.40802
17,4650,0.07356636490701621,-8.40703
17,4700,0.0736895561148937,-8.40793
17,4750,0.07396403937682657,-8.40627
17,4800,0.07338743575946967,-8.406
17,4850,0.0738869093806505,-8.40642
17,4900,0.07157010434273402,-8.40556
17,4950,0.07325374108296372,-8.40467
17,5000,0.0736560835457404,-8.40469
17,5050,0.0735115277874842,-8.40472
17,5100,0.07322090887803927,-8.40408
17,5150,0.07277486001035947,-8.40341
17,5200,0.07291494122711835,-8.40397
17,5250,0.07292123287968491,-8.40146
17,5300,0.07317499889966339,-8.40474
17,5350,0.07260083969707662,-8.40378
17,5400,0.07310126030824941,-8.40414
17,5450,0.0733123298366039,-8.40198
17,5500,0.0724947864318209,-8.40199
17,5550,0.07305778924970951,-8.4035
17,5600,0.07194693788021184,-8.40302
17,5650,0.0727431579562084,-8.40267
17,5700,0.07285584346084183,-8.40202
17,5750,0.0733027794056907,-8.40295
17,5800,0.07387460682685909,-8.40291
17,5850,0.07306836526663127,-8.40257
17,5900,0.0734918960210936,-8.40083
17,5950,0.07260342178400067,-8.40138
17,6000,0.07166586932436211,-8.40065
17,6050,0.07308907709777712,-8.39962
17,6100,0.07131412248588062,-8.40106
17,6150,0.07269060485784425,-8.40078
17,6200,0.07322612621217955,-8.4016
17,6250,0.07359455415532043,-8.39886
17,6300,0.07253149448328036,-8.40083
17,6350,0.07370067482392798,-8.40164
17,6400,0.07267486396483394,-8.40039
17,6450,0.07263662158405251,-8.4012
17,6500,0.07305513126574595,-8.39867
17,6550,0.07307439697090633,-8.40175
17,6600,0.0738624400587011,-8.39893
17,6650,0.07233775806581348,-8.40033
17,6700,0.07228222021105557,-8.39968
17,6750,0.07279661944030753,-8.40011
17,6800,0.07341278067942116,-8.40038
17,6850,0.07264733494258113,-8.39921
17,6900,0.0733329818140426,-8.3983
17,6950,0.07337155803695637,-8.39945
17,7000,0.07293434475974307,-8.39998
17,50,0.05331333253182145,-8.9875
17,100,0.060900532624367926,-8.88915
17,150,0.06631999864778818,-8.86045
17,200,0.06865285855742367,-8.85193
17,250,0.0659235801114183,-8.84768
17,300,0.06693743160238749,-8.84692
17,350,0.06635232108952768,-8.85005
17,400,0.06677286489626034,-8.80857
17,450,0.0678489807795526,-8.83202
17,500,0.06676397221076576,-8.83635
17,550,0.06870246563541008,-8.83457
17,600,0.06848292785580776,-8.80562
17,650,0.07723182278937793,-8.80034
17,700,0.07418377874304492,-8.80569
17,750,0.07305401377536266,-8.80703
17,800,0.07166033100064617,-8.7754
17,850,0.07451877106882737,-8.75236
17,900,0.07582948738803062,-8.75307
17,950,0.07396985395816673,-8.75527
17,1000,0.07597548618524526,-8.7275
17,1050,0.08033402926727506,-8.70138
17,1100,0.07872692244050339,-8.70406
17,1150,0.07902349309896833,-8.70488
17,1200,0.08066214078728301,-8.68329
17,1250,0.0801587557518314,-8.65449
17,1300,0.0837305164130771,-8.65703
17,1350,0.08476360308359739,-8.65983
17,1400,0.08380553326464855,-8.63869
17,1450,0.0843426354751766,-8.61187
17,1500,0.08466873159920975,-8.6129
17,1550,0.08507041467391123,-8.61528
17,1600,0.08630781560819002,-8.59932
17,1650,0.0873355811645895,-8.57369
17,1700,0.09044031915536899,-8.57396
17,1750,0.08725783426074656,-8.57346
17,1800,0.08802659869722582,-8.56164
17,1850,0.08946295127124616,-8.53875
17,1900,0.08782351481932475,-8.53987
17,1950,0.0897283550977146,-8.54235
17,2000,0.08939078515959821,-8.53186
17,2050,0.08868080168758474,-8.51355
17,2100,0.08870681593063084,-8.51439
17,2150,0.08781962779840213,-8.51407
17,2200,0.08793260369953527,-8.50648
17,2250,0.087800870205409,-8.49044
17,2300,0.08746199056425957,-8.49229
17,2350,0.08689655604214142,-8.49173
17,2400,0.08713430661016394,-8.48719
17,2450,0.08648324876040037,-8.4718
17,2500,0.08852138152901301,-8.47089
17,2550,0.0871498273336198,-8.47159
17,2600,0.0869989635882097,-8.46897
17,2650,0.08759556962093633,-8.45392
17,2700,0.08756801814117926,-8.45414
17,2750,0.08472850925241789,-8.45547
17,2800,0.08790228958066522,-8.45058
17,2850,0.08555192047370276,-8.44018
17,2900,0.08699990974991009,-8.44008
17,2950,0.08763124103325005,-8.44104
17,3000,0.08815726794976853,-8.43914
17,3050,0.08607388323652435,-8.42996
17,3100,0.08904718024996255,-8.43136
